imagenet_original,imagenet_normalized,dataset_name,dataset_full_class,dataset_core_class
a photo of a Blackburnian Warbler,blackburnian warbler,CUB-200,blackburnian warbler,blackburnian warbler
a photo of a Blackpoll Warbler,blackpoll warbler,CUB-200,blackpoll warbler,blackpoll warbler
a photo of a Black throated Blue Warbler,black throated blue warbler,CUB-200,black throated blue warbler,black throated blue warbler
a photo of a Black throated Green Warbler,black throated green warbler,CUB-200,black throated green warbler,black throated green warbler
a photo of a Blue winged Warbler,blue winged warbler,CUB-200,blue winged warbler,blue winged warbler
a photo of a Canada Warbler,canada warbler,CUB-200,canada warbler,canada warbler
a photo of a Cape May Warbler,cape may warbler,CUB-200,cape may warbler,cape may warbler
a photo of a Cerulean Warbler,cerulean warbler,CUB-200,cerulean warbler,cerulean warbler
a photo of a Chestnut sided Warbler,chestnut sided warbler,CUB-200,chestnut sided warbler,chestnut sided warbler
a photo of a Golden winged Warbler,golden winged warbler,CUB-200,golden winged warbler,golden winged warbler
a photo of a Magnolia Warbler,magnolia warbler,CUB-200,magnolia warbler,magnolia warbler
a photo of a Mourning Warbler,mourning warbler,CUB-200,mourning warbler,mourning warbler
a photo of a Nashville Warbler,nashville warbler,CUB-200,nashville warbler,nashville warbler
a photo of a Orange crowned Warbler,orange crowned warbler,CUB-200,orange crowned warbler,orange crowned warbler
a photo of a Palm Warbler,palm warbler,CUB-200,palm warbler,palm warbler
a photo of a Pine Warbler,pine warbler,CUB-200,pine warbler,pine warbler
a photo of a Prairie Warbler,prairie warbler,CUB-200,prairie warbler,prairie warbler
a photo of a Prothonotary Warbler,prothonotary warbler,CUB-200,prothonotary warbler,prothonotary warbler
a photo of a Tennessee Warbler,tennessee warbler,CUB-200,tennessee warbler,tennessee warbler
a photo of a Wilsons Warbler,wilsons warbler,CUB-200,wilsons warbler,wilsons warbler
a photo of a Worm eating Warbler,worm eating warbler,CUB-200,worm eating warbler,worm eating warbler
a photo of a Yellow Warbler,yellow warbler,CUB-200,yellow warbler,yellow warbler
a photo of a Yellow breasted Chat,yellow breasted chat,CUB-200,yellow breasted chat,yellow breasted chat
a photo of a Yellow rumped Warbler,yellow rumped warbler,CUB-200,yellow rumped warbler,yellow rumped warbler
a photo of a Yellow throated Warbler,yellow throated warbler,CUB-200,yellow throated warbler,yellow throated warbler
a photo of a American Bittern,american bittern,CUB-200,american bittern,american bittern
a photo of a Great Blue Heron,great blue heron,CUB-200,great blue heron,great blue heron
a photo of a Great Egret,great egret,CUB-200,great egret,great egret
a photo of a Green heron,green heron,CUB-200,green heron,green heron
a photo of a Little Blue Heron,little blue heron,CUB-200,little blue heron,little blue heron
a photo of a Snowy Egret,snowy egret,CUB-200,snowy egret,snowy egret
a photo of a Tricolored Heron,tricolored heron,CUB-200,tricolored heron,tricolored heron
a photo of a Black crowned Night Heron,black crowned night heron,CUB-200,black crowned night heron,black crowned night heron
a photo of a Yellow crowned Night Heron,yellow crowned night heron,CUB-200,yellow crowned night heron,yellow crowned night heron
a photo of a American White Pelican,american white pelican,CUB-200,american white pelican,american white pelican
